query_time,total_time,loading_time,execution_time
108.808,108.155408,104.834564,3.31902
107.029,106.401561,102.923422,3.47701
108.575,107.792095,104.334472,3.456394
108.554,107.977307,104.55728,3.418973
109.209,108.638635,105.069556,3.568025
107.299,106.726608,103.251298,3.473885
107.53500000000001,106.954929,103.54794,3.40573
108.502,107.953915,104.536427,3.415852
108.35000000000001,107.807351,104.451052,3.355302
108.189,107.648099,104.224332,3.42269
106.994,106.431471,102.990062,3.440165
108.129,107.547759,104.173968,3.372559
108.254,107.710209,104.445609,3.263592
108.499,107.956045,104.5535,3.40119
107.492,106.922005,103.480332,3.440277
107.731,107.126917,103.863645,3.262113
108.16000000000001,107.617185,104.407888,3.208322
108.283,107.735777,104.490056,3.244669
108.236,107.674626,104.271528,3.402014
106.32300000000001,105.762704,102.421591,3.339567
