query_time,total_time,loading_time,execution_time
376.769,369.967,0.049,369.908
382.908,373.74600000000004,0.04,373.697
378.414,371.526,0.058,371.46000000000004
378.02599999999995,369.904,0.04,369.856
377.838,371.03000000000003,0.049,370.973
388.403,381.28499999999997,0.041,381.23600000000005
392.048,385.26500000000004,0.043000000000000003,385.215
379.061,371.639,0.041999999999999996,371.59
381.258,374.017,0.043000000000000003,373.965
380.63,373.676,0.044,373.625
375.79699999999997,368.996,0.041,368.947
375.697,367.726,0.044,367.67499999999995
378.498,371.621,0.062,371.55
377.79,370.829,0.041,370.77900000000005
377.605,370.791,0.046,370.736
375.457,368.321,0.041,368.274
374.94,368.315,0.044,368.26300000000003
376.348,369.5,0.04,369.453
375.031,367.102,0.04,367.054
374.243,367.644,0.043000000000000003,367.592
