query_time,total_time,loading_time,execution_time
234.839,227.878,0.047,227.823
236.847,229.75300000000001,0.039,229.70499999999998
236.339,229.316,0.041999999999999996,229.265
237.396,230.45499999999998,0.039,230.40800000000002
237.38600000000002,229.114,0.039,229.065
235.867,228.876,0.041999999999999996,228.823
235.37199999999999,228.43,0.04,228.383
235.958,228.663,0.038,228.615
235.763,228.206,0.039,228.158
235.317,228.388,0.039,228.339
235.097,228.14200000000002,0.039,228.095
235.441,227.232,0.039,227.184
234.185,227.291,0.047,227.236
235.00099999999998,228.104,0.039,228.056
274.863,267.54299999999995,0.039,267.494
244.249,237.206,0.058,237.13799999999998
234.187,226.616,0.041,226.56699999999998
234.489,227.08100000000002,0.041999999999999996,227.03
235.245,228.289,0.04,228.242
239.32999999999998,231.234,0.039,231.185
