query_time,total_time,loading_time,execution_time
447.519,408.419026,400.250402,8.137839
447.73400000000004,407.039337,398.881425,8.133043
443.879,402.771174,394.562324,8.186677
445.193,405.705916,397.576481,8.107514
456.929,418.029093,409.901532,8.102316
444.21,403.90877,395.781754,8.102356
459.836,419.955816,411.762583,8.161967
444.072,404.589489,396.450637,8.115612
444.863,404.409664,396.221731,8.164199
459.001,417.536966,409.402228,8.106455
446.142,405.8202,397.640916,8.155571
443.878,404.689958,396.55959,8.108287
441.935,402.844393,394.701652,8.119444
458.469,415.5525,407.411211,8.115294
442.00600000000003,402.032978,393.85438,8.154457
442.13599999999997,402.730306,394.589403,8.118018
442.474,403.38759,395.25542,8.108638
446.56600000000003,406.748122,398.616302,8.109486
446.07599999999996,404.726972,396.548115,8.151135
459.033,419.633586,411.508231,8.100801
