query_time,total_time,loading_time,execution_time
9.738999999999999,8.998195,1.575394,7.421199
9.82,9.118566,1.822585,7.294418
9.422,8.73897,1.527368,7.2106
9.350999999999999,8.682845,1.55254,7.129236
9.407,8.736003,1.515004,7.219988
9.401,8.73666,1.540309,7.195314
9.5,8.785655,1.532707,7.251691
9.879000000000001,9.197612,1.513307,7.68295
9.724,9.010087,1.542553,7.466259
9.835999999999999,9.114659,1.549233,7.564113
9.950000000000001,9.161059,1.610675,7.549165
9.738,8.970352,1.579672,7.389443
9.448,8.69713,1.591291,7.104327
9.485000000000001,8.767595,1.574219,7.192245
9.402000000000001,8.701027,1.586399,7.113421
9.364,8.657348,1.58271,7.073495
10.675,9.965471,1.563513,8.40077
9.646999999999998,8.926824,1.608195,7.317557
9.393,8.682145,1.579759,7.10137
9.377,8.672025,1.573855,7.096937
