query_time,total_time,loading_time,execution_time
218.924,198.28606,193.003263,5.251544
216.485,197.059775,191.806706,5.226244
215.057,194.780754,189.505375,5.254434
215.68200000000002,196.393356,191.142433,5.228012
218.06300000000002,198.20432,192.944862,5.239271
216.342,196.883313,191.630655,5.232372
215.34,195.831962,190.57899,5.228712
216.25900000000001,195.947812,190.680322,5.246857
216.032,196.546251,191.275137,5.244284
214.838,194.290268,189.004034,5.265316
214.85399999999998,195.531269,190.274931,5.232981
216.556,196.358371,191.089299,5.246979
215.26999999999998,196.049504,190.798909,5.229605
215.775,196.141386,190.886071,5.234229
215.184,195.476285,190.203217,5.252494
216.385,196.713465,191.451971,5.233785
216.076,194.948375,189.681977,5.245332
215.775,196.451421,191.197578,5.228672
214.828,194.252189,188.979666,5.252201
215.446,196.277982,191.02438,5.230875
