query_time,total_time,loading_time,execution_time
7879.8820000000005,7145.656264,7073.45297,72.009327
7923.241,7187.934711,7117.346547,70.436288
7899.064,7166.989341,7095.316186,71.481526
7921.247,7178.964778,7109.392311,69.419003
7898.764,7152.160947,7081.934487,70.071724
7893.634999999999,7156.313107,7085.160119,70.960062
7941.306,7204.866357,7134.961018,69.749476
8064.265,7333.868676,7264.385276,69.331079
8035.982000000001,7310.519039,7240.551032,69.771429
8015.0380000000005,7285.601872,7215.905042,69.538172
8046.948,7329.509188,7259.360665,69.531093
7872.05,7130.888238,7061.145229,69.585553
7892.729,7146.617613,7075.890194,70.566047
7923.938,7180.063375,7110.399274,69.508697
8045.203,7312.272482,7241.865531,70.212583
7904.156000000001,7157.524543,7087.89577,69.473735
7903.471,7155.193066,7084.816832,70.219549
7908.674999999999,7174.596731,7105.055572,69.387205
8027.664,7292.996937,7222.354838,70.485137
8057.803,7313.732621,7244.113835,69.454617
