query_time,total_time,loading_time,execution_time
3.869,3.051503,1.994429,1.020872
3.595,2.935172,1.883133,1.035483
3.529,2.876399,1.862244,0.996806
3.5,2.866839,1.859191,0.991291
3.592,2.909655,1.886641,1.006758
3.732,2.970439,1.956962,0.994128
3.612,2.91903,1.913959,0.988476
3.738,2.968356,1.954884,0.996571
3.811,2.999365,1.983485,0.996295
3.822,3.007203,1.993556,0.994659
3.812,2.997578,1.980211,0.997967
3.906,3.063847,2.047838,0.99573
3.85,3.018897,2.002384,0.997813
63.472,3.188167,2.128453,1.03868
3.9360000000000004,3.152464,2.116568,1.011232
3.605,2.934781,1.902279,1.015898
3.555,2.907134,1.880428,1.010157
3.5300000000000002,2.884322,1.875326,0.992813
3.48,2.853803,1.827338,1.010251
3.523,2.878836,1.871485,0.991006
