query_time,total_time,loading_time,execution_time
176.935,176.08736,175.35575,0.695896
171.127,170.400293,169.678108,0.702168
170.65800000000002,169.930616,169.210373,0.702193
171.317,170.572514,169.845261,0.708979
173.034,172.323081,171.596747,0.708079
170.86499999999998,170.132773,169.402129,0.711688
170.685,169.982444,169.265009,0.699127
170.583,169.893095,169.179488,0.695392
172.207,171.411048,170.692608,0.700413
171.44799999999998,170.732848,170.006888,0.707421
170.672,169.955655,169.225956,0.71126
170.598,169.887886,169.170497,0.699336
172.57,171.831477,171.111131,0.702116
171.303,170.55506,169.825994,0.708578
170.654,169.910062,169.19293,0.69888
175.565,174.844967,174.126975,0.699873
173.321,172.624493,171.905258,0.701442
172.65900000000002,171.732147,170.995996,0.714554
172.13,171.355584,170.621527,0.712292
172.055,171.321301,170.594581,0.708034
