query_time,total_time,loading_time,execution_time
3903.888,3558.154059,3513.023071,44.860894
3824.674,3477.516922,3434.029071,43.327224
3883.616,3534.318358,3490.519394,43.654644
3913.256,3560.033636,3516.760949,43.082994
3809.867,3457.954876,3414.69422,43.076602
3816.418,3463.414799,3420.20712,43.048201
3803.5739999999996,3450.574509,3406.468061,43.909887
3811.665,3456.863201,3413.589674,43.104222
3886.6130000000003,3538.757077,3494.953523,43.658432
3814.035,3465.672617,3421.325601,44.191243
3899.5899999999997,3552.637804,3509.384232,43.092854
3909.7889999999998,3559.209371,3515.945019,43.073166
3793.633,3444.567399,3400.928313,43.021308
3847.039,3498.216789,3455.088927,42.963288
3808.64,3453.5451,3410.236173,43.162499
3815.032,3462.643382,3418.97699,43.496165
3904.904,3556.53529,3512.902411,43.016896
3899.509,3550.057776,3506.882858,42.972411
3829.2830000000004,3479.714529,3436.543983,42.988641
3816.812,3467.633575,3423.11009,44.375509
