query_time,total_time,loading_time,execution_time
110.795,110.239803,105.00246,5.235641
110.097,109.539899,104.990108,4.548605
109.644,109.090829,104.442482,4.647239
108.153,107.58548,102.798845,4.785445
109.762,109.163627,104.424756,4.737471
110.17299999999999,109.587136,104.915086,4.670911
110.553,109.968197,105.284002,4.682751
109.861,109.271172,104.518128,4.751951
107.946,107.332264,102.729045,4.593479
110.211,109.612904,104.976059,4.635621
110.048,109.464886,104.875092,4.588666
109.804,109.230996,104.779198,4.450414
109.10400000000001,108.499528,103.87397,4.624339
108.174,107.587218,103.003149,4.582693
109.919,109.346149,104.748415,4.59666
109.96300000000001,109.397176,104.812124,4.583843
109.75500000000001,109.202666,104.706426,4.495096
108.63000000000001,108.056352,103.357895,4.69734
108.891,108.289245,103.676192,4.611521
109.791,109.237609,104.701024,4.535474
