query_time,total_time,loading_time,execution_time
128.321,118.327081,113.168402,5.127305
107.61500000000001,97.732367,94.465459,3.247372
107.477,97.161005,93.942541,3.19874
105.265,95.0626,91.85139,3.189992
105.715,95.88767,92.685271,3.175538
108.079,98.07114,94.863701,3.187865
108.35000000000001,98.246805,95.050119,3.172537
106.42699999999999,96.010767,92.808323,3.181734
105.435,95.678831,92.489292,3.164038
106.745,96.769662,93.593242,3.157124
107.808,97.952899,94.753874,3.176009
106.847,96.493181,93.310908,3.16328
105.067,95.190504,92.004277,3.16291
105.863,96.171495,92.995269,3.153457
106.97,97.268292,94.084858,3.163894
107.352,97.266167,94.08495,3.162098
105.53800000000001,94.837943,91.645704,3.172439
105.519,95.774453,92.592497,3.155279
106.864,97.192623,94.007529,3.16586
107.604,97.668041,94.485147,3.163619
