query_time,total_time,loading_time,execution_time
78.874,73.351293,69.571226,3.747448
53.781000000000006,48.584601,46.195087,2.370724
55.713,50.229078,47.843028,2.368144
54.050000000000004,48.866789,46.473926,2.374444
54.183,48.740518,46.383933,2.338208
54.819,49.523754,47.16091,2.340075
54.047,48.855646,46.508358,2.329206
56.086,50.498799,48.126082,2.354176
53.981,48.768181,46.41648,2.331839
53.904,48.393412,46.041656,2.333796
55.507,50.146594,47.753023,2.369353
53.674,48.494934,46.143821,2.331907
56.549,50.80879,48.462955,2.327048
53.564,48.393935,46.045225,2.32612
54.578,49.192346,46.836279,2.338454
54.248999999999995,49.024636,46.671112,2.331668
53.852,48.666145,46.305233,2.343382
54.798,49.260142,46.889008,2.353032
53.879000000000005,48.722832,46.350962,2.350276
54.003,48.565943,46.204044,2.34416
