query_time,total_time,loading_time,execution_time
2.064,1.404716,0.665571,0.706138
1.724,1.209818,0.506419,0.686565
1.7129999999999999,1.216282,0.495846,0.70442
1.704,1.211096,0.498078,0.696498
1.7329999999999999,1.227528,0.496176,0.71527
1.717,1.208219,0.495716,0.696071
1.759,1.251714,0.534758,0.700996
1.79,1.263668,0.493789,0.7535
1.7129999999999999,1.213693,0.488043,0.70971
1.752,1.258187,0.500711,0.741483
1.7,1.206548,0.490948,0.699805
1.821,1.301905,0.502905,0.782443
1.841,1.259424,0.529392,0.712199
1.802,1.246125,0.506363,0.722271
1.706,1.19917,0.491944,0.69114
1.691,1.193123,0.490806,0.686393
1.8519999999999999,1.261059,0.516797,0.727323
1.8190000000000002,1.241343,0.528851,0.69407
1.8519999999999999,1.268181,0.540756,0.699207
1.881,1.294953,0.534753,0.742762
