query_time,total_time,loading_time,execution_time
9.535,2.5730000000000004,0.048,2.518
9.045,2.503,0.038,2.458
9.075,2.491,0.038,2.448
9.186,2.477,0.038,2.431
9.133000000000001,2.511,0.039,2.467
9.1,2.504,0.038,2.46
9.672,2.506,0.039,2.462
10.497,2.5100000000000002,0.039,2.464
10.806,2.5500000000000003,0.045000000000000005,2.499
10.111,2.581,0.043000000000000003,2.5309999999999997
9.337,2.504,0.041999999999999996,2.456
9.106,2.485,0.037,2.442
9.134,2.487,0.039,2.442
9.056,2.4650000000000003,0.038,2.421
9.207999999999998,2.545,0.038,2.5
9.12,2.563,0.039,2.518
9.071,2.49,0.038,2.4450000000000003
9.117,2.545,0.038,2.5
9.141,2.5820000000000003,0.039,2.5370000000000004
9.102,2.507,0.037,2.464
