query_time,total_time,loading_time,execution_time
8.908,7.614815,6.400508,1.179418
8.997,7.575368,6.389305,1.165176
10.527,9.22406,8.025119,1.178541
8.529,7.30958,6.128643,1.1623
8.421,7.239439,6.074597,1.147633
8.486,7.323546,6.154399,1.150536
8.675,7.230057,6.009289,1.203392
8.966,7.584704,6.408061,1.152602
8.815,7.544491,6.365593,1.160305
8.543999999999999,7.266983,6.090637,1.158625
9.798,8.389127,7.208999,1.159985
8.451,7.251927,6.080216,1.154847
8.355,7.129987,5.971778,1.140782
8.583,7.439147,6.243575,1.176856
8.508,7.283081,6.091779,1.173565
8.882,7.562934,6.363727,1.177233
9.020999999999999,7.623367,6.43514,1.168513
9.031,7.598479,6.411632,1.166403
8.905,7.576877,6.320012,1.237255
8.69,7.346206,6.169487,1.159221
