query_time,total_time,loading_time,execution_time
3941.876,3586.770868,3534.748393,51.645918
3899.141,3543.678736,3500.48675,42.973586
3821.605,3466.836823,3423.42708,43.257073
3913.978,3554.124698,3509.009879,44.937419
3829.77,3481.874532,3437.933601,43.461354
3831.585,3482.76973,3438.101956,44.108043
3833.829,3485.837842,3441.481514,44.210793
3814.734,3463.717566,3419.835938,43.704294
3845.0660000000003,3494.644084,3450.230519,44.111328
3817.1499999999996,3466.513668,3422.768866,43.134936
3833.8329999999996,3484.293109,3440.93954,43.149359
3889.9300000000003,3544.213363,3501.031725,42.962772
3904.877,3556.559022,3512.912808,43.426802
3814.469,3456.418642,3413.248777,42.984017
3822.328,3468.344017,3425.179362,42.98065
3812.907,3462.469271,3419.262881,43.026205
3838.562,3486.749386,3443.122858,43.013437
3902.3940000000002,3553.468722,3509.710218,43.534598
3798.091,3448.157961,3404.60551,42.936537
3934.562,3579.755606,3536.437207,43.10111
