query_time,total_time,loading_time,execution_time
8.183,7.529276,0.849346,6.678241
7.936,7.3085,0.816457,6.490757
8.016,7.369421,0.816354,6.551744
8.135,7.475113,0.829217,6.644683
8.109,7.462991,0.817808,6.643674
8.091,7.41152,0.819539,6.590711
8.286,7.610661,0.854514,6.754778
8.286,7.661364,0.819575,6.840623
8.318000000000001,7.652169,0.819722,6.831345
8.482999999999999,7.731097,0.92657,6.803407
7.9159999999999995,7.285672,0.81187,6.472704
8.014999999999999,7.395315,0.812969,6.581221
7.9,7.281562,0.814292,6.46618
7.8790000000000004,7.283858,0.80559,6.47695
7.946999999999999,7.362499,0.812634,6.54887
7.854,7.255959,0.815191,6.439563
7.765000000000001,7.179973,0.808137,6.370787
7.9190000000000005,7.313744,0.836531,6.476296
8.066,7.43936,0.823258,6.614857
8.218,7.58275,0.810558,6.770882
