query_time,total_time,loading_time,execution_time
5.969,5.445012,0.072339,5.37097
6.0200000000000005,5.501221,0.061111,5.438912
6.139,5.548251,0.062528,5.484218
6.202,5.599072,0.063747,5.533626
6.184,5.570779,0.061863,5.50755
6.284,5.705467,0.064241,5.639587
6.309,5.727007,0.062175,5.663519
5.887,5.256464,0.061457,5.19371
6.228,5.70319,0.059305,5.642837
6.035,5.51217,0.060844,5.450114
6.171,5.64336,0.060242,5.582019
6.505999999999999,5.970968,0.061438,5.908357
5.8389999999999995,5.318459,0.060751,5.256335
6.603000000000001,6.082708,0.060351,6.020967
5.981,5.468949,0.060232,5.407566
5.919,5.378814,0.059322,5.318372
5.8069999999999995,5.30327,0.059311,5.24291
6.026,5.515567,0.062352,5.451876
5.988,5.482447,0.060096,5.421074
6.159999999999999,5.568343,0.06172,5.505031
