query_time,total_time,loading_time,execution_time
20.211,12.241999999999999,0.049,12.185
19.262,12.395,0.041999999999999996,12.346
18.443,11.976,0.039,11.931000000000001
18.834,12.074,0.038,12.027
18.503,11.955,0.04,11.91
18.426000000000002,11.943999999999999,0.038,11.899
19.816,12.004000000000001,0.038,11.959
19.885,12.158000000000001,0.045000000000000005,12.107
18.703,12.02,0.041,11.972
18.617,12.011000000000001,0.038,11.967
18.916,11.976,0.038,11.932
18.674,11.987,0.04,11.941
18.555,11.983,0.039,11.939
18.993,11.995000000000001,0.039,11.948
20.473000000000003,12.191,0.043000000000000003,12.139000000000001
18.898000000000003,12.102,0.041999999999999996,12.050999999999998
18.967000000000002,11.977,0.04,11.931000000000001
18.526999999999997,12.004000000000001,0.039,11.958
18.716,12.008,0.039,11.960999999999999
18.457,11.924000000000001,0.04,11.878
