query_time,total_time,loading_time,execution_time
216.551,196.830586,191.580396,5.218714
215.142,195.494997,190.257633,5.217149
216.62,196.835985,191.577463,5.232977
217.53900000000002,196.818507,191.55799,5.239181
216.505,197.107718,191.864652,5.219292
221.969,202.156298,196.901327,5.230247
216.295,196.880874,191.629049,5.231113
215.916,196.393491,191.150195,5.219339
218.53300000000002,197.855112,192.592949,5.242362
216.661,197.203999,191.966935,5.212508
215.048,194.741764,189.478239,5.242775
215.722,196.217968,190.969543,5.22535
215.562,195.713615,190.473958,5.220155
230.671,210.009002,204.762106,5.225372
216.836,197.226188,191.97775,5.220975
221.521,201.589945,196.339031,5.229768
218.372,199.039159,193.806726,5.211312
215.658,196.155525,190.927561,5.203712
219.10999999999999,198.201177,192.938347,5.241415
216.546,196.962484,191.713731,5.222486
