query_time,total_time,loading_time,execution_time
954.53,869.257898,853.652179,15.566917
910.405,827.949881,814.034242,13.887372
906.292,825.858037,811.976693,13.854247
924.787,843.747257,829.856423,13.860503
912.293,830.003721,815.950283,14.021111
901.42,819.967099,806.071748,13.867239
925.304,845.079643,831.198305,13.853018
917.198,836.108931,822.121985,13.953742
905.525,822.696981,808.784588,13.884186
899.141,815.54717,801.665036,13.854284
912.114,825.508556,811.462081,14.014397
902.709,820.959933,807.079021,13.850402
900.339,819.548004,805.65032,13.870002
900.52,817.476835,803.573256,13.873942
899.91,818.636142,804.746945,13.859693
903.5640000000001,822.758984,808.721333,14.004882
898.721,816.91552,803.036437,13.851033
917.818,836.755835,822.866287,13.860486
905.215,821.6701,807.568246,14.071266
929.26,840.263444,826.326381,13.905554
