query_time,total_time,loading_time,execution_time
71.828,66.169676,49.051722,17.115905
72.38,66.894645,50.05072,16.84221
70.623,65.007241,48.474664,16.531363
70.979,65.523469,48.786566,16.735255
70.47,64.848932,48.212457,16.634951
70.375,64.939329,48.235647,16.701973
71.005,65.391602,48.417845,16.972424
71.233,65.745463,48.857484,16.886053
70.02600000000001,64.406317,47.874295,16.530801
70.795,65.302074,48.597498,16.702791
71.619,65.967159,49.207966,16.757949
70.361,64.86451,48.285796,16.576544
70.94200000000001,65.366142,48.46858,16.896228
70.57,65.139775,48.564126,16.574072
69.953,64.277696,48.012367,16.263869
72.445,66.761559,48.722249,18.037809
76.773,71.144477,50.935327,20.207276
73.532,67.885779,51.158561,16.725719
73.84,68.198292,51.319693,16.876916
72.147,66.556256,50.027076,16.527746
