query_time,total_time,loading_time,execution_time
2.322,1.679051,0.817644,0.826774
2.0799999999999996,1.54195,0.670008,0.854774
2.029,1.508002,0.659602,0.831111
2.064,1.559054,0.704305,0.837757
2.061,1.544295,0.661336,0.866238
2.065,1.521659,0.660533,0.844202
2.0799999999999996,1.53918,0.682975,0.83926
2.274,1.587358,0.719586,0.8478
2.199,1.587091,0.71775,0.849777
2.26,1.598445,0.743686,0.833864
2.129,1.552221,0.688973,0.84521
2.112,1.551967,0.678455,0.856494
2.1,1.55766,0.690019,0.850544
2.109,1.565196,0.674261,0.874216
2.1870000000000003,1.601505,0.696533,0.887621
2.169,1.558663,0.698212,0.841857
2.5709999999999997,1.797202,0.861229,0.881533
2.312,1.645759,0.752211,0.872125
2.11,1.560141,0.682377,0.859909
2.055,1.548138,0.654574,0.877017
