query_time,total_time,loading_time,execution_time
12.902999999999999,4.819999999999999,0.049,4.764
12.963000000000001,4.925,0.043000000000000003,4.872999999999999
12.711,5.194,0.043000000000000003,5.143
11.388,4.767,0.039,4.721
11.572000000000001,4.7860000000000005,0.038,4.742999999999999
12.385,4.777,0.04,4.731
11.582,4.794,0.043000000000000003,4.745
11.792,4.769,0.041,4.724
11.814,4.819999999999999,0.04,4.774
11.492,4.777,0.04,4.7299999999999995
11.32,4.783,0.038,4.739
11.818,4.79,0.038,4.745
12.915,4.823,0.041,4.776
12.722000000000001,4.861,0.041999999999999996,4.812
11.717,4.8500000000000005,0.043000000000000003,4.8
12.076,4.77,0.04,4.725
11.558,4.757,0.039,4.713
11.534,4.864,0.039,4.819999999999999
11.328,4.729,0.037,4.686
11.363,4.7410000000000005,0.038,4.697
