query_time,total_time,loading_time,execution_time
9.817,9.066744,1.56261,7.502458
9.484,8.81129,1.559798,7.250394
9.636000000000001,8.946085,1.534172,7.410911
9.787,9.083265,1.568525,7.513273
9.861,9.11748,1.554875,7.561172
10.312999999999999,9.551047,1.622031,7.92749
9.696,8.991815,1.595521,7.395135
9.893,9.132729,1.583799,7.547561
9.904,9.141933,1.544998,7.595428
10.007,9.329424,1.591845,7.736373
9.806000000000001,9.058414,1.551431,7.505561
9.386000000000001,8.718296,1.550214,7.167009
9.427,8.756373,1.558679,7.196612
9.529,8.855237,1.540505,7.313699
9.368,8.627188,1.536084,7.089748
9.291,8.579842,1.514442,7.064092
9.641,8.943051,1.543539,7.398297
9.762,9.029394,1.530048,7.497923
11.081999999999999,10.275699,1.61417,8.660025
10.233,9.409132,1.679477,7.728302
