query_time,total_time,loading_time,execution_time
111.258,103.818,0.052,103.75800000000001
111.829,104.182,0.049,104.125
112.12,105.13799999999999,0.049,105.082
111.161,104.177,0.04,104.129
110.644,103.784,0.038,103.738
110.812,103.88799999999999,0.04,103.84
111.581,103.447,0.038,103.40100000000001
110.54,103.625,0.043000000000000003,103.575
111.85499999999999,104.78999999999999,0.039,104.744
120.274,112.67,0.041,112.619
127.65299999999999,120.178,0.058,120.11099999999999
111.88,104.774,0.041,104.725
112.366,104.21600000000001,0.039,104.16799999999999
111.232,103.70400000000001,0.041999999999999996,103.654
110.786,103.957,0.041,103.908
111.06,104.134,0.039,104.088
111.32000000000001,104.443,0.04,104.395
111.478,103.974,0.04,103.925
111.003,103.374,0.041,103.32600000000001
110.583,103.73,0.043000000000000003,103.67899999999999
