query_time,total_time,loading_time,execution_time
2.319,1.66184,0.775633,0.85184
2.1159999999999997,1.474221,0.630621,0.820734
2.111,1.46315,0.592278,0.851057
2.2439999999999998,1.598722,0.713369,0.865647
2.1350000000000002,1.479538,0.570748,0.889234
2.278,1.482718,0.56698,0.881618
2.145,1.497066,0.568751,0.893817
2.0100000000000002,1.426492,0.555341,0.853033
2.278,1.545705,0.594657,0.931604
2.225,1.516417,0.664878,0.828172
2.386,1.639757,0.670026,0.947229
2.935,2.234028,1.373544,0.840845
2.148,1.483709,0.548907,0.916836
2.011,1.424473,0.556034,0.851056
1.934,1.403462,0.521724,0.865419
1.909,1.378775,0.513762,0.848718
1.848,1.349588,0.507042,0.82641
1.907,1.406094,0.509792,0.880145
1.89,1.365514,0.513493,0.835971
1.863,1.363773,0.510683,0.83691
