query_time,total_time,loading_time,execution_time
15.157,13.37952,11.879079,1.462211
17.128,15.030239,13.136184,1.874388
15.215,13.389287,11.898719,1.47144
15.603,13.583852,12.087774,1.477879
16.469,14.468106,12.921039,1.501324
15.762000000000002,13.887415,12.380853,1.484438
15.579,13.69394,12.208327,1.46679
15.32,13.467208,11.99611,1.453466
15.366,13.534445,12.039871,1.477228
15.403,13.509657,12.010783,1.480694
15.508,13.637385,12.137586,1.481696
15.471,13.582945,12.074337,1.491244
15.509,13.548408,12.023728,1.506075
15.78,13.795837,12.3076,1.464765
15.535,13.609462,12.104829,1.482523
15.661000000000001,13.755536,12.260305,1.477255
15.24,13.39547,11.91592,1.459794
15.143,13.317404,11.833138,1.465508
15.071,13.263825,11.76275,1.48261
15.128,13.307973,11.822113,1.467845
